date,comment_num,like_num,Subjuctivity,Polarity,Class_sentiment_negative,Class_sentiment_neutral,Class_sentiment_positive,total_count_tweet,Open,Close,change,Class_target
2017-11-22,230,1330,145.47052387823817,45.04364124235553,65,180,188,786,21.118,20.84,-1.6393380723915663,-1.0
2017-11-23,79,342,89.49342412217412,20.27659361471861,51,87,106,337,21.118,20.84,-1.6393380723915663,-1.0
2017-11-24,122,519,74.6895294189937,24.420249948464235,38,61,97,650,20.919333,21.036667,0.9436996161228478,1.0
2017-11-25,88,462,62.01591197691197,20.184949314574315,20,61,99,368,20.919333,21.036667,0.9436996161228478,1.0
2017-11-26,84,428,93.55047789247789,35.604621753246754,22,64,145,375,20.919333,21.036667,0.9436996161228478,1.0
2017-11-27,105,626,129.05724747474747,37.476738816738816,55,140,171,568,20.883333,21.120667,0.3993027982997479,1.0
2017-11-28,97,548,121.74926803751804,25.364094757094755,67,170,148,611,21.090668,21.17,0.23357690360820865,1.0
2017-11-29,119,697,151.122578712293,43.42624670171099,62,217,197,778,21.153334,20.502666,-3.1522626358053865,-1.0
2017-11-30,142,887,131.47411075036075,39.68501262626263,58,208,167,843,20.570667,20.59,0.42596411608128654,1.0
2017-12-01,107,598,93.9863222888223,25.33378427128427,33,130,133,520,20.362667,20.435333,-0.7511753278290426,-1.0
2017-12-02,85,372,79.66258556258556,24.34420621045621,25,71,104,306,20.362667,20.435333,-0.7511753278290426,-1.0
2017-12-03,58,210,78.55475288600289,22.286396103896102,19,59,109,278,20.362667,20.435333,-0.7511753278290426,-1.0
2017-12-04,124,466,120.48281902356902,31.95627398989899,48,143,158,459,20.433332,20.346666,-0.4338906539961983,-1.0
2017-12-05,166,676,119.81608873599944,33.04139412835841,44,182,157,587,20.133333,20.246668,-0.4914711825514773,-1.0
2017-12-06,131,669,141.7348798100048,41.04453878066378,49,183,186,569,20.006666,20.884001,3.1478414127203633,1.0
2017-12-07,143,814,152.55574555074554,51.1476449013949,49,148,211,622,20.799999,20.749332,-0.6448429110877861,-1.0
2017-12-08,165,745,150.3365903078403,59.44568001443001,36,154,220,722,20.973333,21.008667,1.2498474649689932,1.0
2017-12-09,36,172,93.39373299319728,28.29234410430839,26,64,130,264,20.973333,21.008667,1.2498474649689932,1.0
2017-12-10,31,136,72.50277597402598,27.40629509379509,17,57,113,219,20.973333,21.008667,1.2498474649689932,1.0
2017-12-11,190,1371,179.9668563149813,58.20947850760351,63,184,245,769,20.975332,21.927334,4.372800044857674,1.0
2017-12-12,184,1111,234.64460772560773,58.65445432345432,103,269,294,964,22.030001,22.735332,3.6848893714119617,1.0
2017-12-13,119,664,146.41133273208274,50.62256998556998,46,199,200,581,22.728666,22.601999,-0.5864572375719007,-1.0
2017-12-14,261,1061,174.69561696636697,51.62965713453213,68,234,219,858,22.733999,22.525999,-0.33625344377725397,-1.0
2017-12-15,204,1094,166.52608739034335,43.563448000412286,71,164,207,1272,22.802668,22.896667,1.6455119260193611,1.0
2017-12-16,70,350,83.21890497729784,23.597083055833057,23,78,109,296,22.802668,22.896667,1.6455119260193611,1.0
2017-12-17,71,356,75.30378427128427,25.11390512265512,20,60,116,350,22.802668,22.896667,1.6455119260193611,1.0
2017-12-18,93,632,123.57707287157288,41.38793253968254,31,152,168,501,22.993334,22.591333,-1.3335303343495453,-1.0
2017-12-19,108,763,154.09360209235209,50.290419372294366,40,193,236,733,22.684,22.073334,-2.292910294403609,-1.0
2017-12-20,113,750,161.35962686189472,41.23780163883735,40,174,215,599,22.179333,21.931999,-0.6402974738659688,-1.0
2017-12-21,143,677,132.86443559152488,39.007928159142445,47,138,172,829,21.972668,22.110666,0.8146407447857227,1.0
2017-12-22,121,587,124.51666125541124,32.30838203463203,55,124,158,450,21.967333,21.68,-1.9477748883728725,-1.0
2017-12-23,33,293,61.6238005050505,18.509203643578644,11,57,88,256,21.967333,21.68,-1.9477748883728725,-1.0
2017-12-24,33,266,60.60073953823954,22.011186868686867,14,56,89,205,21.967333,21.68,-1.9477748883728725,-1.0
2017-12-25,29,247,48.0912012987013,18.42052308802309,6,33,72,167,21.967333,21.68,-1.9477748883728725,-1.0
2017-12-26,61,553,95.64569444444444,25.72635101010101,36,124,125,432,21.588667,21.152666,-2.432352398523984,-1.0
2017-12-27,218,1082,157.20549422799422,38.35210317460317,64,240,201,823,21.066668,20.775999,-1.7807069803872533,-1.0
2017-12-28,181,842,139.55104473304473,40.966310966810966,54,140,180,564,20.783333,21.024,1.1936898918795777,1.0
2017-12-29,118,820,125.62709872534872,40.10232918470418,34,125,178,547,21.078667,20.756666,-1.2715658295281664,-1.0
2017-12-30,40,315,65.08559343434344,23.78011002886003,16,70,88,241,21.078667,20.756666,-1.2715658295281664,-1.0
2017-12-31,37,349,58.89501823573252,20.49502267573696,13,58,85,240,21.078667,20.756666,-1.2715658295281664,-1.0
2018-01-01,30,249,44.22379725829726,14.837930735930737,13,54,64,195,21.078667,20.756666,-1.2715658295281664,-1.0
2018-01-02,86,651,101.25963841713842,36.03310876623377,40,131,129,445,20.799999,21.368668,2.9484600272510066,1.0
2018-01-03,308,1763,152.35390007215008,22.97706884319384,96,214,165,942,21.4,21.15,-1.023311326658269,-1.0
2018-01-04,457,1928,313.29947210197207,60.509326298701296,179,336,344,1401,20.858,20.974667,-0.8289976359337987,-1.0
2018-01-05,25,171,37.449675324675326,12.461936327561329,15,30,51,203,21.108,21.105333,0.6229705577685762,1.0
2018-01-06,112,643,53.53621031746032,17.113757215007215,20,66,64,296,21.108,21.105333,0.6229705577685762,1.0
2018-01-07,104,365,67.7789393939394,20.812023809523808,22,87,91,329,21.108,21.105333,0.6229705577685762,1.0
2018-01-08,330,2060,200.97150432900432,72.87814754689755,80,215,280,1309,21.066668,22.427334,6.263824408740656,1.0
2018-01-09,193,1121,150.9611924186924,42.7436066017316,70,227,188,734,22.344,22.246,-0.8085401501578372,-1.0
2018-01-10,172,959,104.77352182539684,36.92176857864358,44,156,136,671,22.146667,22.32,0.332644070844204,1.0
2018-01-11,210,1482,158.36307740275598,48.16322396452753,71,178,202,1000,22.349333,22.530001,0.9408646953404943,1.0
2018-01-12,127,781,99.6522117003367,32.50506403318903,40,142,130,587,22.575333,22.414667,-0.5119129821609736,-1.0
2018-01-13,123,611,61.417397186147184,19.93744949494949,16,71,82,321,22.575333,22.414667,-0.5119129821609736,-1.0
2018-01-14,90,478,57.49158438783439,20.4222095959596,18,74,77,283,22.575333,22.414667,-0.5119129821609736,-1.0
2018-01-15,55,373,56.29233525733525,13.843008658008658,21,80,68,330,22.575333,22.414667,-0.5119129821609736,-1.0
2018-01-16,107,781,107.00700757575756,35.368970057720055,44,139,135,517,22.502666,22.670668,1.1421137775546595,1.0
2018-01-17,215,1234,148.316933982684,38.66486075036075,65,171,183,767,22.698,23.143999,2.0878564319322295,1.0
2018-01-18,185,1161,143.44939291726791,38.79165115440115,58,163,189,768,23.044666,22.971333,-0.7460508445407361,-1.0
2018-01-19,102,504,89.8717261904762,28.116239177489177,35,126,110,480,23.0,23.334667,1.5816844412120021,1.0
2018-01-20,124,505,63.269616402116405,23.330661976911976,20,70,82,317,23.0,23.334667,1.5816844412120021,1.0
2018-01-21,80,516,57.68808802308802,19.9954816017316,16,73,72,253,23.0,23.334667,1.5816844412120021,1.0
2018-01-22,166,957,102.93665667665668,34.751978299478296,32,136,131,499,23.293333,23.437332,0.4399677098456206,1.0
2018-01-23,323,1819,198.7168133288669,47.111296854600425,82,289,237,1072,24.0,23.519333,0.3498734412261524,1.0
2018-01-24,166,899,108.31343524531025,29.015981713392424,54,172,139,735,23.638666,23.059334,-1.9558335264014495,-1.0
2018-01-25,259,1002,135.63798984745412,30.17805207689136,82,207,165,764,23.218,22.509333,-2.3851556163764234,-1.0
2018-01-26,104,781,100.23990957190956,31.49369191919192,55,156,122,653,22.766666,22.856667,1.5430666026398916,1.0
2018-01-27,54,281,52.9149673012173,14.321266233766234,20,68,67,272,22.766666,22.856667,1.5430666026398916,1.0
2018-01-28,68,412,70.89356421356422,13.690808982683984,39,66,79,275,22.766666,22.856667,1.5430666026398916,1.0
2018-01-29,138,760,133.79244498556997,42.07375,48,179,168,590,22.656668,23.302,1.948372437678678,1.0
2018-01-30,89,427,110.9615672198172,24.60505465367965,43,164,116,413,23.009333,23.054667,-1.0614239121105533,-1.0
2018-01-31,135,861,126.79141747141747,45.78587051837052,45,158,174,653,23.167334,23.620667,2.4550343754694115,1.0
2018-02-01,140,909,129.85467528172884,27.88872500515357,69,184,151,712,23.4,23.283333,-1.4281307128202687,-1.0
2018-02-02,153,828,123.0763294681509,36.22356965058751,59,132,157,717,23.229334,22.916668,-1.574796013955552,-1.0
2018-02-03,77,818,59.67731962481962,18.880185786435785,24,72,74,547,23.229334,22.916668,-1.574796013955552,-1.0
2018-02-04,60,548,52.26273027898028,19.49823773448773,18,77,60,350,23.229334,22.916668,-1.574796013955552,-1.0
2018-02-05,96,723,108.0963058006808,31.30301497113997,37,138,133,559,22.531334,22.208668,-3.0894543657044817,-1.0
2018-02-06,155,801,144.25496632996632,36.25675943104515,64,158,171,558,21.680668,22.264668,0.252153798687976,1.0
2018-02-07,568,3072,350.1460352742495,94.31202019210949,168,514,424,1915,22.599333,23.0,3.302685672204947,1.0
2018-02-08,509,2805,366.0418048657692,82.629438576635,200,496,421,2005,22.887333,21.015333,-8.628986956521747,-1.0
2018-02-09,250,1104,191.3881343193843,45.11434974747475,85,260,231,962,21.328667,20.694668,-1.5258620931678706,-1.0
2018-02-10,123,530,86.45382610445111,18.84779310966811,43,87,99,351,21.328667,20.694668,-1.5258620931678706,-1.0
2018-02-11,85,468,83.73468404280904,23.26623196248196,25,85,98,319,21.328667,20.694668,-1.5258620931678706,-1.0
2018-02-12,128,582,113.21844432419432,27.81525817700817,47,151,130,546,21.075333,21.048668,1.7105855479295402,1.0
2018-02-13,121,517,118.64169973544972,32.53828643578643,59,149,147,504,21.001333,21.577333,2.511631614884135,1.0
2018-02-14,141,620,123.11169011544013,36.08965638528139,62,147,151,562,21.389334,21.487333,-0.4171043752256123,-1.0
2018-02-15,124,452,100.709901996152,20.86789141414141,59,127,114,388,21.633333,22.271334,3.648665937275696,1.0
2018-02-16,199,595,117.84392490842492,36.92318985181485,56,138,147,490,22.166668,22.365999,0.4250531198535261,1.0
2018-02-17,81,332,47.32690476190477,18.758353174603176,13,71,68,228,22.166668,22.365999,0.4250531198535261,1.0
2018-02-18,136,495,59.26022847522847,19.981248196248195,18,77,81,289,22.166668,22.365999,0.4250531198535261,1.0
2018-02-19,77,479,70.35661916786917,18.001006493506495,34,110,85,361,22.166668,22.365999,0.4250531198535261,1.0
2018-02-20,127,442,101.76160894660894,29.55477453102453,36,154,135,469,22.298,22.318001,-0.214602531279733,-1.0
2018-02-21,194,818,136.40639763014764,21.94591797091797,89,205,141,697,22.402,22.219999,-0.43911638860486424,-1.0
2018-02-22,251,883,166.328348701563,45.68795064062921,73,234,197,770,22.368668,23.077999,3.8613863123936096,1.0
2018-02-23,267,1108,162.43109523809522,43.23453336940837,73,214,208,786,23.188667,23.469999,1.6985874728567372,1.0
2018-02-24,157,1022,82.9527187049062,21.10574810606061,38,118,112,455,23.188667,23.469999,1.6985874728567372,1.0
2018-02-25,99,711,66.86295162509448,19.28646477530406,28,103,83,387,23.188667,23.469999,1.6985874728567372,1.0
2018-02-26,181,829,117.94211683158112,42.26433815192743,50,185,158,643,23.566668,23.827999,1.5253515775607702,1.0
2018-02-27,175,749,133.61128697691197,42.20166320947571,58,164,157,548,23.75,23.399332,-1.7990054473310886,-1.0
2018-02-28,132,597,101.45651515151516,30.08226551226551,54,180,134,523,23.504667,22.870667,-2.259316633483384,-1.0
2018-03-01,181,737,132.35193635200778,40.853214921982776,54,180,171,596,23.000668,22.062,-3.535826043027078,-1.0
2018-03-02,191,631,128.34292207792208,40.64306998556999,60,186,164,585,21.798668,22.341333,1.2661272776720043,1.0
2018-03-03,159,452,84.75823893698893,19.79312049062049,41,104,100,325,21.798668,22.341333,1.2661272776720043,1.0
2018-03-04,123,585,66.26017961205461,17.80930826118326,29,54,82,367,21.798668,22.341333,1.2661272776720043,1.0
2018-03-05,141,560,110.98648809523807,28.075165644540643,47,141,143,473,22.159332,22.223333,-0.5281690219647975,-1.0
2018-03-06,12,72,9.82388888888889,1.2712500000000002,5,17,12,60,22.25,21.879999,-1.5449257768850364,-1.0
2018-03-07,156,670,108.98296536796536,37.30593073593074,46,138,140,487,21.695999,22.153334,1.249245943749812,1.0
2018-03-08,270,1089,128.90340051152552,33.68133387445887,59,199,156,762,22.190666,21.940001,-0.9629837206444962,-1.0
2018-03-09,251,1088,156.6045718170718,27.46287157287157,100,207,179,742,21.606667,21.811333,-0.5864539386301649,-1.0
2018-03-10,138,554,78.37564604377104,18.737174422799423,38,107,91,390,21.606667,21.811333,-0.5864539386301649,-1.0
2018-03-11,175,739,104.3612094155844,20.654839466089467,60,88,120,462,21.606667,21.811333,-0.5864539386301649,-1.0
2018-03-12,433,1105,189.0542745711079,52.43031998556998,93,261,246,880,21.907333,23.034,5.605650053575348,1.0
2018-03-13,298,894,150.84172789247788,43.18703637566138,79,208,186,718,21.907333,22.789333,-1.0621993574715627,-1.0
2018-03-14,409,1774,226.3033701635666,44.75133765837337,130,322,257,1135,22.450666,21.775333,-4.449450100185027,-1.0
2018-03-15,243,930,151.45474538754897,39.024352478870334,78,262,179,801,21.958668,21.706667,-0.3153384611844987,-1.0
2018-03-16,201,741,143.22036375661375,38.72811387686387,74,166,175,622,21.528667,21.423332,-1.305290213370855,-1.0
2018-03-17,103,373,83.46382524221809,22.728231034838178,29,113,100,371,21.528667,21.423332,-1.305290213370855,-1.0
2018-03-18,85,455,75.517784992785,23.70022095959596,28,75,93,356,21.528667,21.423332,-1.305290213370855,-1.0
2018-03-19,321,1657,181.24861241382075,37.62128156565657,107,230,200,917,21.1,20.903999,-2.4241467200340248,-1.0
2018-03-20,250,1017,137.90060326908542,35.05973832714904,77,176,155,590,20.991333,20.703333,-0.9599407271307191,-1.0
2018-03-21,296,1893,172.8555301087801,45.96179888167388,92,276,204,1113,20.683332,21.101999,1.9256126537693163,1.0
2018-03-22,297,1291,172.08604772211913,87.16199482065554,82,173,253,886,20.926001,20.606667,-2.3473226399072322,-1.0
2018-03-23,321,1594,202.9012503607504,78.36033513708514,102,256,245,1184,20.75,20.102667,-2.445810377777257,-1.0
2018-03-24,187,1009,95.54837692400191,16.7138952020202,69,94,112,541,20.75,20.102667,-2.445810377777257,-1.0
2018-03-25,153,595,77.3139457070707,15.04059568903319,46,89,92,394,20.75,20.102667,-2.445810377777257,-1.0
2018-03-26,318,1224,194.8987251082251,68.6508976070226,92,284,239,895,20.489332,20.278667,0.8755057226983781,1.0
2018-03-27,788,4634,440.407046847773,99.58785428559536,256,558,514,2614,20.266666,18.612,-8.2188193139125,-1.0
2018-03-28,1085,5544,611.3514919555753,154.3849517539339,321,804,719,3338,17.638666,17.185333,-7.665307328605193,-1.0
2018-03-29,979,5269,591.6684740805931,103.4050503590325,375,649,645,3023,17.099333,17.742001,3.239204035208386,1.0
2018-03-30,388,1514,218.80196987932703,44.85354766529766,130,219,253,894,17.099333,17.742001,3.239204035208386,1.0
2018-03-31,364,1724,185.8186186868687,33.3958455988456,124,180,213,945,17.099333,17.742001,3.239204035208386,1.0
2018-04-01,408,2606,225.2447831599617,62.98174455504813,110,216,263,968,17.099333,17.742001,3.239204035208386,1.0
2018-04-02,826,5389,568.442097014097,109.18261468623967,320,733,664,2937,17.084,16.832001,-5.129071968826947,-1.0
2018-04-03,788,5993,523.4564425640497,120.46218358493358,269,725,641,3133,17.988001,17.835333,5.960859912021136,1.0
2018-04-04,614,3306,414.6518477917585,101.59406295093794,205,603,498,2081,16.851999,19.129333,7.255261227811113,1.0
2018-04-05,512,2988,355.0578361486397,83.1367334847692,194,431,421,1771,19.289333,20.381332,6.544917169877285,1.0
2018-04-06,277,1444,210.7683883477633,51.13722537878788,110,340,250,1203,20.066668,19.953333,-2.0999559793246085,-1.0
2018-04-07,127,650,94.25335644910643,13.206618506493506,62,142,106,515,20.066668,19.953333,-2.0999559793246085,-1.0
2018-04-08,243,1318,95.01123973248971,24.08060488122988,46,132,122,649,20.066668,19.953333,-2.0999559793246085,-1.0
2018-04-09,282,1708,159.3321966854694,39.43773709497573,89,263,198,958,20.024668,19.310667,-3.2208453595196445,-1.0
