Date,Open,High,Low,Close,Adj Close,Volume,change,Class_target
2018-12-10,24.0,24.398666,23.541332,24.343332,24.343332,99202500,2.005743385996396,1
2018-12-11,24.660667,24.811333,24.015333,24.450666,24.450666,94632000,0.4409174553425884,1
2018-12-12,24.628,24.794001,24.344,24.440001,24.440001,75405000,-0.0436184437675418,-1
2018-12-13,24.676666,25.162666,24.450001,25.119333,25.119333,110488500,2.77959072096602,1
2018-12-14,25.0,25.191334,24.288668,24.380667,24.380667,95064000,-2.9406274442080207,-1
2018-12-17,24.133333,24.379999,22.925333,23.228001,23.228001,115110000,-4.727786979740956,-1
2018-12-18,23.369333,23.436666,22.246,22.468666,22.468666,106500000,-3.2690501434023536,-1
2018-12-19,22.506666,23.134001,21.982668,22.198,22.198,124113000,-1.2046376050985783,-1
2018-12-20,21.803333,22.019333,20.791332,21.025333,21.025333,136078500,-5.282759708081811,-1
2018-12-21,21.16,21.564667,20.829332,21.318001,21.318001,120252000,1.391977953452623,1
2018-12-24,20.9,20.966667,19.68,19.692667,19.692667,83398500,-7.624232684856327,-1
2018-12-26,20.0,21.798,19.606001,21.739332,21.739332,122446500,10.39303107090574,1
2018-12-27,21.322666,21.478001,20.1,21.075333,21.075333,128626500,-3.054367079908437,-1
2018-12-28,21.540001,22.416,21.227333,22.257999,22.257999,149085000,5.611612400145711,1
2018-12-31,22.519333,22.614,21.684,22.186666,22.186666,94534500,-0.3204825375362931,-1
2019-01-02,20.406668,21.008667,19.92,20.674667,20.674667,174879000,-6.814899543716932,-1
2019-01-03,20.466667,20.626667,19.825333,20.024,20.024,104478000,-3.147170399407152,-1
2019-01-04,20.4,21.200001,20.181999,21.179333,21.179333,110911500,5.769741310427481,1
2019-01-07,21.448,22.449333,21.183332,22.330667,22.330667,113268000,5.436120202652267,1
2019-01-08,22.797333,22.934,21.801332,22.356667,22.356667,105127500,0.1164318110157809,1
2019-01-09,22.366667,22.9,22.098,22.568666,22.568666,81493500,0.948258521719712,1
2019-01-10,22.293333,23.025999,22.119333,22.997999,22.997999,90846000,1.9023410599456771,1
2019-01-11,22.806,23.227333,22.584667,23.150667,23.150667,75586500,0.6638316663984483,1
2019-01-14,22.825333,22.833332,22.266666,22.293333,22.293333,78709500,-3.7032799098185727,-1
2019-01-15,22.333332,23.253332,22.299999,22.962,22.962,90849000,2.999403453938445,1
2019-01-16,22.985332,23.466667,22.9,23.07,23.07,70375500,0.4703423046772952,1
2019-01-17,23.080667,23.433332,22.943333,23.153999,23.153999,55150500,0.3641048981361014,1
2019-01-18,21.533333,21.808666,19.982,20.150667,20.150667,362262000,-12.971115702302658,-1
2019-01-22,20.321333,20.533333,19.700001,19.927999,19.927999,181000500,-1.1050155312476693,-1
2019-01-23,19.5,19.633333,18.779333,19.172667,19.172667,187950000,-3.790305288554055,-1
2019-01-24,18.868668,19.578667,18.618668,19.434,19.434,120183000,1.3630498041821748,1
2019-01-25,19.625999,19.901333,19.303333,19.802668,19.802668,108744000,1.8970258310178016,1
2019-01-28,19.527332,19.830667,19.183332,19.758667,19.758667,96349500,-0.222197332197871,-1
